%  dbname: ../adcpdb/a_sp  output: a_sp_npings.txt  step_size= 1  year_base= 2024
%
%       Time        NPings   NSecs

  124.067095          75        180.0
  124.069190          75        180.0
  124.071285          78        180.0
  124.073356          77        180.0
  124.075428          77        180.0
  124.077535          78        180.0
  124.079618          77        180.0
  124.081690          77        180.0
  124.083785          78        180.0
  124.085856          77        180.0
  124.087951          78        180.0
  124.090023          77        180.0
  124.092095          77        180.0
  124.094201          78        180.0
  124.096273          77        180.0
  124.098368          78        180.0
  124.100440          77        180.0
  124.102535          78        180.0
  124.104606          77        180.0
  124.106701          78        180.0
  124.108773          77        180.0
  124.110868          78        180.0
  124.112940          77        180.0
  124.115012          77        180.0
  124.117118          78        180.0
  124.119190          78        180.0
  124.121262          77        180.0
  124.123368          78        180.0
  124.125451          78        180.0
  124.127523          77        180.0
  124.129618          78        180.0
  124.131690          77        180.0
  124.133773          78        180.0
  124.135868          78        180.0
  124.137940          77        180.0
  124.140012          77        180.0
  124.142118          78        180.0
  124.144190          77        180.0
  124.146285          78        180.0
  124.148356          77        180.0
  124.150428          77        180.0
  124.152523          78        180.0
  124.154595          77        180.0
  124.156701          78        180.0
  124.158773          77        180.0
  124.160845          77        180.0
  124.162951          78        180.0
  124.165023          77        180.0
  124.167118          78        180.0
  124.169190          77        180.0
  124.171285          78        180.0
  124.173356          77        180.0
  124.175428          77        180.0
  124.177535          78        180.0
  124.179606          77        180.0
  124.181701          78        180.0
  124.183773          77        180.0
  124.185845          77        180.0
  124.187940          78        180.0
  124.190023          77        180.0
  124.192118          78        180.0
  124.194190          77        180.0
  124.196285          78        180.0
  124.198356          77        180.0
  124.200451          78        180.0
  124.202523          77        180.0
  124.204618          78        180.0
  124.206690          77        180.0
  124.208762          77        180.0
  124.210868          78        180.0
  124.212940          77        180.0
  124.215012          77        180.0
  124.217118          78        180.0
  124.219178          77        180.0
  124.221273          78        180.0
  124.223345          77        180.0
  124.225451          78        180.0
  124.227523          77        180.0
  124.229595          77        180.0
  124.231690          78        180.0
  124.233762          77        180.0
  124.235868          78        180.0
